Date,EUR,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HRK,ILS,INR
2022-04-25,1.0745755426606491,0.7177205196296562,0.5494505494505494,0.20684234476482025,0.7838833581563063,1.0466820180029306,0.15264612049884752,0.04400846722909488,0.1444523090701605,1.27420998980632,0.1274356131564527,0.14210601108426887,0.3043676761527926,0.013053773715443397
2022-04-24,1.0816657652785289,0.7300868803387603,0.5530667551573475,0.21240441801189464,0.7887679444707367,1.0465724751439036,0.15379883112888343,0.04447785225347038,0.14538687447297258,1.2888258796236627,0.12746972594008923,0.14303491482270822,0.30653220120773683,0.013080701387208384
2022-04-23,1.0816657652785289,0.7300868803387603,0.5530667551573475,0.21240441801189464,0.7887679444707367,1.0465724751439036,0.15379883112888343,0.04447785225347038,0.14538687447297258,1.2888258796236627,0.12746972594008923,0.14303491482270822,0.30653220120773683,0.013080701387208384
2022-04-22,1.0816657652785289,0.7300868803387603,0.5530667551573475,0.21240441801189464,0.7887679444707367,1.0465724751439036,0.15379883112888343,0.04447785225347038,0.14538687447297258,1.2888258796236627,0.12746972594008923,0.14303491482270822,0.30653220120773683,0.013080701387208384
2022-04-21,1.0887316276537833,0.7429972509101715,0.5566379070414695,0.2163378331602631,0.8005123278898495,1.0534077741493733,0.15502433882119493,0.04465541647874179,0.14632504645820224,1.3034410844629822,0.12747297572914543,0.14394081153829544,0.30970299482796,0.013122395204551896
2022-04-20,1.0829542993285683,0.7427213309566251,0.553740517193643,0.21453702909122113,0.7975753708725475,1.0561892691170258,0.15594298724386363,0.04436891868508273,0.1455540514970234,1.3053126223730585,0.12750223128904756,0.1432356943350283,0.3102410573015233,0.013105850713875688
2022-04-19,1.0802635843145727,0.7367567965814484,0.552364118426867,0.21493820526598603,0.7925186241876684,1.0583130489998942,0.15654596972400944,0.04423115200035385,0.14522008103280523,1.302252897512697,0.12754776663860615,0.14285918370262432,0.3083184312758217,0.013078084008380435
2022-04-18,1.0877841836179702,0.7444353457902182,0.5562044607597753,0.21235480240385635,0.7961783439490446,1.0675776662752217,0.1569242840329541,0.04454541404962359,0.14623089858887184,1.311991603253739,0.12752987387295472,0.14391388193305127,0.31173041553664393,0.013135460752556817
2022-04-17,1.0877841836179702,0.7444353457902182,0.5562044607597753,0.21235480240385635,0.7961783439490446,1.0675776662752217,0.1569242840329541,0.04454541404962359,0.14623089858887184,1.311991603253739,0.12752987387295472,0.14391388193305127,0.31173041553664393,0.013135460752556817
2022-04-16,1.0877841836179702,0.7444353457902182,0.5562044607597753,0.21235480240385635,0.7961783439490446,1.0675776662752217,0.1569242840329541,0.04454541404962359,0.14623089858887184,1.311991603253739,0.12752987387295472,0.14391388193305127,0.31173041553664393,0.013135460752556817
2022-04-15,1.0877841836179702,0.7444353457902182,0.5562044607597753,0.21235480240385635,0.7961783439490446,1.0675776662752217,0.1569242840329541,0.04454541404962359,0.14623089858887184,1.311991603253739,0.12752987387295472,0.14391388193305127,0.31173041553664393,0.013135460752556817
2022-04-14,1.0877841836179702,0.7444353457902182,0.5562044607597753,0.21235480240385635,0.7961783439490446,1.0675776662752217,0.1569242840329541,0.04454541404962359,0.14623089858887184,1.311991603253739,0.12752987387295472,0.14391388193305127,0.31173041553664393,0.013135460752556817
